Gene1,Gene2,Type
CDC28,SWI6,1
CLB6,SWI6,1
CLN3,SWI6,1
FUS3,SWI6,1
FKH2,SWI6,1
CDC20,CDC28,1
CDC6,CDC28,1
CLB2,CDC28,1
CLB5,CDC28,1
CLN1,CDC28,1
CLN2,CDC28,1
FAR1,CDC28,1
MBP1,CDC28,1
MCM1,CDC28,1
NDD1,CDC28,1
SIC1,CDC28,1
SWI4,CDC28,1
SWI5,CDC28,1
SWI6,CDC28,1
CLB6,CDC28,1
CLN3,CDC28,1
FUS3,CDC28,1
FKH2,CDC28,1
CDC20,CLB6,1
CDC6,CLB6,1
CLB5,CLB6,1
CLN1,CLB6,1
CLN2,CLB6,1
MBP1,CLB6,1
PCL2,CLB6,1
SIC1,CLB6,1
SWI4,CLB6,1
SWI5,CLB6,1
SWI6,CLB6,1
CDC28,CLB6,1
CLN3,CLB6,1
FUS3,CLB6,1
ACE2,CLN3,1
CLB2,CLN3,1
MBP1,CLN3,1
MCM1,CLN3,1
SIC1,CLN3,1
SWI4,CLN3,1
SWI5,CLN3,1
SWI6,CLN3,1
CDC28,CLN3,1
FAR1,FUS3,1
CLN3,FUS3,1
CLB2,FKH2,1
MCM1,FKH2,1
NDD1,FKH2,1
